fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,neuro1,Random Forest,kNN,AdaBoost,SVM
continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous
,,,,,,,,,,,class,meta,meta,meta,meta,meta
0.27433628318584075,0.30136986301369867,0.08,0.1095890410958904,0.17028380634390652,0.18309859154929578,0.1413427561837456,0.5161527165932412,0.39370078740157494,0.1976047904191617,0.18461538461538451,6.0,5.479946371554372,5.68,5.4,6.0,5.427280734863507
0.2831858407079646,0.2602739726027397,0.17,0.04794520547945206,0.11686143572621034,0.28169014084507044,0.33922261484098937,0.4353891336270149,0.5118110236220473,0.08982035928143711,0.16923076923076918,5.0,5.180121967248592,5.133333333333333,5.2,5.0,5.202326221580958
0.5398230088495575,0.3767123287671233,0.22,0.12328767123287672,0.15859766277128548,0.22535211267605634,0.0989399293286219,0.75844346549192,0.4251968503937006,0.3892215568862275,0.23076923076923078,6.0,6.002655323090767,5.8149999999999995,5.8,6.0,5.329617718950061
0.3451327433628319,0.23287671232876714,0.31,0.09246575342465753,0.11018363939899833,0.4366197183098592,0.18374558303886926,0.5822320117474278,0.46456692913385833,0.125748502994012,0.21538461538461545,5.0,5.595066213364239,5.1,6.0,5.0,5.338721914898272
0.1858407079646018,0.23287671232876714,0.24,0.054794520547945195,0.10851419031719532,0.23943661971830987,0.0989399293286219,0.3472834067547688,0.5118110236220473,0.16167664670658682,0.33846153846153837,6.0,5.765174364352822,6.0,5.8,6.0,5.4420697146177615
0.2300884955752213,0.19863013698630136,0.3,0.08219178082191782,0.11853088480801337,0.47887323943661975,0.2332155477031802,0.5088105726872214,0.5511811023622047,0.11377245508982037,0.15384615384615385,5.0,5.015378366232875,5.08,5.4,5.0,5.4103709835382245
0.27433628318584075,0.2876712328767123,0.26,0.06849315068493149,0.1285475792988314,0.3098591549295775,0.49823321554770317,0.4618208516886912,0.4094488188976376,0.155688622754491,0.19999999999999984,5.0,4.64326502823171,5.0,5.0,5.0,5.551111883784889
0.21238938053097348,0.4520547945205479,0.08,0.07534246575342465,0.13522537562604342,0.1267605633802817,0.045936395759717315,0.4060205580029356,0.5196850393700787,0.0838323353293413,0.2461538461538461,5.0,4.909765158844346,5.033333333333333,5.0,5.0,4.986988283152223
0.3185840707964601,0.18493150684931506,0.38,0.0410958904109589,0.07679465776293823,0.1267605633802817,0.0812720848056537,0.4500734214390546,0.4094488188976376,0.24550898203592816,0.21538461538461545,5.0,5.5439087680202,5.238888888888889,5.8,5.0,5.491152101425754
0.10619469026548674,0.33561643835616434,0.11,0.06164383561643835,0.09015025041736228,0.23943661971830987,0.07773851590106007,0.349486049926565,0.637795275590551,0.1976047904191617,0.38461538461538464,6.0,5.456460632205596,5.7875,5.6,6.0,5.689851020392312
0.5221238938053098,0.2671232876712329,0.64,0.10273972602739725,0.15859766277128548,0.07042253521126761,0.03180212014134275,0.5308370044052808,0.27559055118110215,0.1976047904191617,0.5230769230769231,7.0,6.947848750610403,7.0200000000000005,6.8,7.0,5.846767994648405
0.1858407079646018,0.4383561643835616,0.02,0.06164383561643835,0.11018363939899833,0.07042253521126761,0.021201413427561835,0.4353891336270149,0.637795275590551,0.17964071856287425,0.2384615384615383,3.0,4.172127090029102,4.3149999999999995,4.6,3.0,5.157994181684902
0.1858407079646018,0.2465753424657534,0.08,0.08219178082191782,0.08681135225375627,0.23943661971830987,0.0989399293286219,0.4001468428781214,0.46456692913385833,0.18562874251497008,0.19999999999999984,5.0,5.666572791322325,5.35,5.6,5.0,5.346761661240828
0.21238938053097348,0.30136986301369867,0.13,0.04794520547945206,0.10851419031719532,0.3380281690140845,0.127208480565371,0.4566813509544757,0.47244094488188965,0.155688622754491,0.12307692307692292,5.0,4.865941247441414,5.279999999999999,5.0,5.0,5.164126023159359
0.2831858407079646,0.15068493150684933,0.37,0.07534246575342465,0.11686143572621034,0.323943661971831,0.18374558303886926,0.4647577092510942,0.47244094488188965,0.155688622754491,0.15384615384615385,6.0,5.311194560791005,5.883333333333334,5.6,6.0,5.058815871886452
0.38053097345132747,0.10958904109589043,0.45,0.054794520547945195,0.09181969949916528,0.08450704225352113,0.021201413427561835,0.25477239353890596,0.40157480314960625,0.13173652694610782,0.6000000000000001,7.0,6.3357131880510265,6.5666666666666655,7.0,7.0,6.192137102376145
0.1858407079646018,0.3801369863013699,0.07,0.10273972602739725,0.1285475792988314,0.22535211267605634,0.26855123674911663,0.4207048458149753,0.48031496062992135,0.125748502994012,0.26153846153846144,5.0,4.962315735961828,5.133333333333333,5.0,5.0,5.178374009067037
0.48672566371681414,0.21232876712328766,0.4,0.11643835616438357,0.1335559265442404,0.16901408450704225,0.1625441696113074,0.6071953010278984,0.3779527559055119,0.18562874251497008,0.2461538461538461,7.0,5.799642609609647,6.425,6.2,7.0,4.961883790438005
0.42477876106194695,0.1232876712328767,0.56,0.13013698630136986,0.11352253756260434,0.07042253521126761,0.038869257950530034,0.4647577092510942,0.3228346456692912,0.35329341317365276,0.5076923076923076,8.0,7.311100264156351,6.956666666666668,6.8,8.0,6.849577091954708
